komentar,kategori
Wkwk orang kaya nih bos sengol dong mau minta sumbangan buat bayi hasil kumpul kebo ngewe sembarangan,hate speech
Indikasi ODGJ gak sih,hate speech
Baru dia orang yang hamil bangga gak tau bapaknnya dimana naudzubillah,hate speech
Senggol dong orang kaya mau lahiran minta donasi,hate speech
Baru ini nemu hamil duluan bangga malah pamer ‚,hate speech
orang  kaya kok minta donasi...!!!‚‚‚‚ miskin ya??? btw nama anak nya donasi sja,hate speech
Yuan wibowo sadarlah anakmu butuh kamu  jangan kerjamu asik mabok dan halusinasi aja kasian mbak Denise,hate speech
"dari awal jg keliatan mokondo, numpang, ga ada peduli nya, boro2 sayang.....",hate speech
aku yakin mereka ini lg drama. dibelakang layar mereka pasti baik baik aja,hate speech
Itu rambut apa jembut,hate speech
orang kaya minta sumbangan sana sini,hate speech
"Kena karmanya sendari ,, mulutmu hati mau mau dulu kamu bilang org miskin sekarang kamulah yang miskin sampai harus makan aja harus buka donasi,, bagus saya kasih anak yatim lah dari pada harus kasih makan kamu yang ngak pernah sadar kalau di atas langit masih ada langit ",hate speech
"katanya orang kaya, tapi kok ngemis",hate speech
Ngomong R aja gak bisa belagu jadi selingkuhan_-,hate speech
Bangga banget nampangin perut hamil gak ada bapak nya.. bapak mana.. bapak mana dimana,hate speech
Jijik lihatnya.. ,hate speech
Kasian anaknya kalau udah keluar gak tau bapaknya yang mana,hate speech
"Kenapa ya sekarang didunia ini yang hamil diluar nikah itu biasa"" Aja kayak gak punya rasa malu malah kayak bangga begitu , maaf ya cuma tanya ",hate speech
Itu perut lemak bukan perut hamil,hate speech
"Denis, lu berat banget apa ya make BH? Minimal mah pakai BH kalau ga bisa beli ya beli atu open donasi lagi. DENIS GAPUNYA BH",hate speech
Orang kaya kok minta donasi ,hate speech
kak kalau buat konten pake BH ‚,hate speech
Ayam nya gk kampung tapi cara makan nya yang kampungan...,hate speech
Jual makanan tapi gk pake BH . Jorok banget sih,hate speech
orang  kaya tapi ngemis  donasi,hate speech
pegemis lagi makan kari ayam,hate speech
"Suka Aneh sama manusian yang modelnya kaya gini. pakenya aja yang premium2 tapi minta donasi buat kelahiran, nggak malu tu sama botol anggur wkwk",hate speech
"Sok kaya, ngemis sana-sini,  gak tau malu, udah hamil di luar nikah juga,",hate speech
"Jngan banyak"" pakai nya. nanti cpt habis cari sumbangan lagi",hate speech
INI PEREMPUAN OTAK NYA tidak WARAS MAKA NYA MALU NYA HILANG... MULUT NYA SUKA SOMBONG... TAPI MAKAN  ENAK2 HASIL DONASI... DI SEKEK BALIK tidak TERIMA... ADA SEBAB ADA AKIBAT... DIA yang BUNTING karena HARGA DIRI MURAH tidak BISA MENJAGA DIRI NYA SENDIRI TAPI ORANG yang DI SALAHKAN... TAPI NAMANYA OTAK tidak WARAS BGITU LAH... ADUH KASIHAN CARI MKN sampai SEGITU NYA... DEMI KONTEN HARGA DIRI sampai JATUH KE BAWAH SEGALA CARA DI HALALKAN... ANAK NYA SDH BESAR PASTI MINDER MALU PUNYA EMAK OTAK NYA SEKLEK AKUT,hate speech
Mintanya open donasi untuk biaya lahiran tapi beli barang baby harus branded semua ya kak ‚ï¸  Kakak kadang becandanya keterlaluan masa orang kaya open donasi :(,hate speech
sama saja bikin malu diri sendiri,hate speech
Upah orang sombong,hate speech
otaknya kosong,hate speech
"akhir zaman, bangga sekali mengumbar sebuah aib mengandung ga tau anak siapa kek tidak ada malunya",hate speech
"Unfollow aja instagramnya, youtube nya, kalau perlu report. Biar IG nya hilang terus kita ga liat dia lagi, Ayok report aja ramai ramai ‚",hate speech
"Ngomongin doa, inget tuhan aja tidak",hate speech
"Udah hamil mulutnya itu loh,, yang miskin siapa coba....??? sampai minta donasi2 segala ‚ lucu lu...",hate speech
janda dr mna.. nikah jg kagak… di ngentot doang.. bunting,hate speech
TOMBOL GAPEDULI DENIS-----------,hate speech
Tombol ini pasti settingan ----,hate speech
Definisi gak tau diri apa gimana sih lahiran gak perlu harus punya mobil we astaga lo pake grab aja deh plis¸,hate speech
tombol kontol ------,hate speech
"kamu hamil juga karna perilaku kamu sendiri. Jangan sampai nanti anak kamu lahir malah malu karna emaknya ngemis2 begini. Jadi kepikiran ntar anaknya ""oh saya dilahirkan dapat uang hasil donasi"". Pernah mikir gitu nggak sih den?",hate speech
Kayaknya enak kalau kita unfoll ...,hate speech
kalau GADA UANG! GAUSAH LAHIRAN DI RS! DI KLINIK BISA! CUMA 3JT! GADA MOBIL?! PAKE TAKSI ONLINE! BUNTING NGEMIS BUAT MAKAN! BUAT LAHIRAN OPEN DONASI! MAU BELI MOBIL NGEMIS!!!!! kalau GADA UANG GAUSAH BANYAK GAYA MANGKANNYA! LU yang NGEWE MALAH ORG2 yang DIRIBETIN DISURUH DONASI! LAWAK?!,hate speech
Tombol unfollow -------------------------------,hate speech
… Lahiran minta sumbangan .. dibelain minjem uang buat lahiran .. sehat lu nis … kalau gak punya ga usah di paksain kenapa sih . Lahiran sederhana ... Ga perlu tuh bkin kamar baru buat bayi .. kalau emang pengen yang terbaik buat anak lo gak usah ngemis … kerja keras mbak,hate speech
Si kontol ga bersyukur udah ngemis banyak pulak gayanya,hate speech
Berhenti mengikuti... Ini manusia tak bersyukur....,hate speech
Perempuan goblok,hate speech
orang kaya lagi ngemis ngemis....,hate speech
"Biasa nya kalau wanita hamil di luar nikah pasti di nikahin oleh pasangan nya, lah anda kasihan sekali hamil tidak di nikahkan mulut kau kebanyakan bacot jadi kena karma‚‚",hate speech
"katanya horang kaya, tapi kenapa jd begini ya?  Gak ada keahlian sih jd aja namanya Artis Serabutan ‚",hate speech
Orang kaya ngemis,hate speech
Orang gila,hate speech
Bukannya dulu mbak viral karna bilang kaya raya ya ? sampai ngeledekin netizen dibilang miskin,hate speech
"Heran, dunia dah mau kiamat. Hamil ga ada bapaknya kok bangga. Cari donasi tapi gaya hidupnya highclass. Ga malu yah",hate speech
"Kamarnya yang mewah tapi minta donasi, gak punya malu kah sama yang pake bpjs",hate speech
Lu open BO aja daripada open donasi,hate speech
"orang mah minta donasi harusnya untuk yang ga mampu, korban bencana alam, yatim piatu dan sebagainya yang sejenis. lah ini kok hamil habis zina malah minta donasi, liat sendiri kan dia gaya hidupnya kaya gimana, tiap hari dia bisa nyari makan sendiri, ya bisa dikatakan tiap hari dia gaya hidupnya Hedon dan Mewah. bukan hujat atau gimana ya tapi kalau selagi mampu ya kenapa minta, pas itu sy denger dia nangis untuk biaya persalinan yang dari donasi hanya 7jt emang segitu KURANG? HARUSNYA LO BERSYUKUR itu mah lebih, lahiran aja normal biasa di bidan 2-5 JT mentok. LAH dia mintanya 90jt+ untuk persalinan, kek ya Allah miris padahal bisa nyari duit sendiri knp minta donasi TOLONG GENGSINYA DIKURANG udah DIKASIH. masih ada banyak loh orang yang membutuhkan diluar sana yang belum makan sekolah, org yang merantau tapi susah cari kerja, dagangan yang ga laku toko sepi, pelajar yang nyari duit dengan segala cara tapi halal untuk memenuhi kebutuhan tiap harinya. LAH ko ini yang DIPRIORITASKAN dan dipanggung +MINTA DONASI, bukan NGUNGKIT tapi karna itu real (ada) dr perbuatan kt dulu dan nyeselnya malah sekarang. no hujat ya tapi ini KELUH KESAHKU yang DNGER INI, SEMOGA KM BISA SADAR dan TOBAT pastinya :)",hate speech
"Bayangin anaknya dewasa,,terus lihat jejak digital… bAgaimna cara anak itu menutup muka???",hate speech
sepertinya hamil sama ga hamil ga ada bedanya,hate speech
makanya kalau lagi di atas gausah sombong tantee,hate speech
"Pokoknya jangan dikasih, masih ada banyak yang membutuhkan",hate speech
"gitu dong jualan gini kan bagus diihat drpd lo ngemis, anak mu pasti malu jd anak mu kalau terus an ngemis",hate speech
"Eh kamu hamil apa tidak sh kok gak besar"" itu perut nya",hate speech
"Para donatur stop sumbangannya, ini contoh tidak baik, orang lain bakal ikut - ikutan nantinya kayak kisah nenek mandi lumpur..",hate speech
Bukannya malu malah seperti ini. Amit amit punya keluarga kek gini.,hate speech
Unfollow guys. jangan djadikan publik figur,hate speech
"Emang sengaja buat gaduh astaghfirullah, karena dia emang butuh kegaduhan supaya viral. Hati2 apa yang kamu posting kak, khawatirnya ada yang mau nge-endorse jadi ga jadi karena lihat ini. ‚",hate speech
"Gausah ada yang mau nyumbang, mendingan sumbang yang lebih butuh",hate speech
"hamil elit bayar sulit, malu ga sih lahiran masa open donasi, emang iya lahiran sampai 1m?",hate speech
Kau enak enak buat kesalahan terus masyarakat indonesia kau minta tanggung jawab,hate speech
"usg bisa, biaya lahiran ga sanggup / pura2 ga sanggup. konten jalan terus. selucu itu org didunia ini",hate speech
"Denis betapa miskin nya jiwa mu mau lahiran scc gak punya duit ngemis2 secara online kau gak malu ama status mu yang katanya pengusaha bunga??? Bahakn berhrap 1 M banyak orang2 miskin yang sehari hanya makan 1 kali tapi mereka tetap mau ,bekerja. Dei pda jdo pengemis ko saya sesama perempuan malu tuhan memberi tubuh yang sehat tapi kmu berhrap kamu itu sakit",hate speech
Urat malu dah putus.. Liat noh yang buat lahiran normal aja kaga sanggup.. Pakai BPJS.. engga minta2 kek lu,hate speech
"Orang kaya ngemis"" baru denger",hate speech
Buset dibayar endorse nya dari kapan baru sekarang dipostingnya Karena takut ganti rugi yah,hate speech
Katanya orang kaya kok ngemis ke netizen,hate speech
yang berbuat siapa yang bertanggung jawab siapa lain,hate speech
"kirain goblok, ternyata goblok banget",hate speech
Teruslah bikin malu sampai dirimu lelah‚,hate speech
"GAYA ELIT LAHIRAN SULIT ‚ KATANYA ORANG KAYA, MAU LAHIRAN KOK MINTA MINTA ‚",hate speech
Dulu kk koar koar sombong org kaya makan nya ini itu org kaya tujuh turunan „ sekarang buka donasi ‚ makanya kk jangan tinggi banget ngomongnya— malu ama yang lebih diatas kk,hate speech
Nanti cacingan udah di cek belum . Wkwk,hate speech
"Cuma ni manusia yang bangga hamil gak ada laki, minta donasi biaya hidup lagi ‚ yang  temannya ngewe siapa, minta biaya hidupnya sama siapa ",hate speech
"Ha yakin saya Authentic, kalau jual palsu ngaku asli berarti penipuan tuh",hate speech
"Kok gitu kulit perutnya, ga semulus foto bikini seperti biasa",hate speech
"Sebenarnya bukan hamil tanpa suami, tapi hamil sebelum NIKAH.. ‚",hate speech
" Lu lg susah aja masih sombong, omongan masih tinggi, ngidam makan hbs 1 jtaan sekali makan, terus yang nanggung makan lu minta sama org2‚ zaman2 lu buka aib suami ayu dewi lu musuhin teman2 lu karena mereka nasehatin lu biar ga koar2 tentang perselingkuhan lu, tapi lu ga terima dan memeutuskan pertemanan sama mereka, sekarang lg susah nyari teman2‚",hate speech
"DULU NYA SELALU BILANG"" GUYS MAU PAMER"" Eh ternyata galang dana buat lahiran wkwk",hate speech
donasi untuk orang yang dulu menyombongkan semua hartanya?? HAHAHA,hate speech
"Ketika Urat Malu Sdh hilang,.seperti ini nih",hate speech
Knp cari teman lu? Bknnya dulu uya lu maki2? sekarang lg susah lu cari,hate speech
"yang bikin zina siapa, yang nanggung persalinan siapa. kalau benar itu ada donasi..... Kalian pada sehat.... Mending donasi orang yang jelas tidak mampu.",hate speech
Dia yang ngewe Netizen Pada Donasi ‚ nanti ngewe lagi Donasi lagi Terus Gitu ‚,hate speech
Haha open donasi udah miskin mbak ? ‚,hate speech
Wkwk Dulu kamu menghina orang miskin sekarang kamu minta tolong ke orang miskin kaya sederhana untuk biayain anak hasil luar nikah..... Emang nya kamu sebenarnya sultan atau lagi Negemis si karena uang mu habis —,hate speech
syukurin tak ada satupun teman artis membantunya saat open donasi ‚‚ #karmalagi,hate speech
"ngewe mandiri,udah jadi minta tanggung jawab se-Indonesia wkwk kocak",hate speech
"Gaya elit, lahiran sulit—",hate speech
Sungguh membingungkan lagi live dia cukur bulu ketek ‚ tidak sekalian cukur bulu jembut ,hate speech
"Baju beli disingapura ,diluar negeri tapi buka donasi. ï¸",hate speech
"Biasanya ""makanan orang kaya nih gaes ,kalian ga bakalan mampu beli"" giliran gini bilang gapunya duit , gapunya otak namanya",hate speech
Mana katanya hamil kok gak besar perutnya,hate speech
"Ga terharu sih, lebih ke miris",hate speech
"bikin anaknya ga inget agama, uda kejadian terus open donasi bawa bawa dalil, miris..",hate speech
"donasi? bukan di video lo sering bilang ""orang kaya mau makan ini itu""",hate speech
Kalau jaman dulu anak diluar nikah pasti malu & ditutupi' tapi sekarang malah di umbar2' miris banget,hate speech
kok ga malu sih kak,hate speech
"bawa bawa tuhan giliran pas ngewe ga inget tuhan, kadang manusia selucu ini wkwk",hate speech
"yang ngasi gabut, mending kasi ke org yang lebih membutuhkan",hate speech
ngakunya orang kaya kalau liburan ke luar negeri tapi kok minta sumbangan?,hate speech
akun ini wajib di blokir sih,hate speech
Ngewe nya ga minta ramai2 pas mau lahiran minta ramai2 nyumbang. Waras?,hate speech
"Kita memang miskin tapi kita ga pernah buka donasi, siapa tau anda begitu karna omongan anda sendiri",hate speech
"Bikinnya Sendirian, giliran udah jadi anak yang tanggung jawab harus ramai2, sampai open donasi hahalucu nih perempuan mana ngutip ayat segala, terus pas ngewe ngga inget dosa Mbak!!!",hate speech
"Katanya orang kaya, tapi ko minta donasi juga dari Netizen‚‚‚",hate speech
Tombol absen buat yang sudah report ----,hate speech
aku sudah report akun ini¸,hate speech
gk ada malu nya ni orang. saya rasa urat malunya benar2 dah putus,hate speech
tombol blokir,hate speech
"katanya orang kaya kok lahiran aja minta"" donasi, gak malu tah",hate speech
"Pas ngewe nya ga minta bantuan, sebaliknya hamil minta di bantu …",hate speech
Anjir dikatain miskin gara gara ga nyumbang ,hate speech
‚ Gak tau malu anjing,hate speech
"Bukannya dulu dia suka pamer harta, foya foya sama ngatain orang miskin ya wkwk karma does exist ig …",hate speech
saya kira Udah waras ternyata masih gila....,hate speech
Makin YAKIN saya UMUR DUNIA HANYA 1500H hanya tinggal 1 atau 2 generasi lagi menjelang Dajjal turun,hate speech
KATANYA ORANG KAYA TAPI NGEMIS ONLINE CHUKAS WKWK,hate speech
 waktu ngewe ga inget alkitab,hate speech
tombol report dan blokir --------------------,hate speech
"giliran gini aja bawa bawa ayat alkitab, pas ngewe gak ingat ",hate speech
ngewe mandiri pas jadi di suruh patungan,hate speech
"Ini adalah contoh pembodohan publik. Sangat miris diupload. kalau dilihat anak anak bangsa yang masih kecil dan remaja gimana? Nanti dicontoh seenaknya hamil lalu minta dikasihani masyarakat. wkwk miris, itulah pentingnya pendidikan dari segala aspek.",hate speech
Beliau yang ngewe… kami yang donate??? WTFF,hate speech
Suruh siapa ngewe?,hate speech
"Dih kek begini bawa bawa agama, najis",hate speech
kalau ada yang donasi sama2 gak waras,hate speech
ngewe nya mandiri pas jadi netizen yang disuruh patungan µ,hate speech
Tombol ogah ngasih bantuan ----------------,hate speech
Gak coba buat gugurin tuh hamil ghoib,hate speech
"Janjinya bikin konten bulan desember tahun lalu, sampai sekarang gaada wujudnya uang juga ga di balikin",hate speech
tolong tanggung jawab sama @isabeauty.skincare pilih balikin uang atau penuhi konten lu.. Jangan duit aja lu embat.,hate speech
"Lah bisa nyalon, lahiran minta open donasi. Lawak lo wkwk",hate speech
"Treatment rutin tapi kok open donasi bumil buu,,,,, ",hate speech
Uang donasi nya pakai perawatan ‚,hate speech
oh ini alasanya minta donasi.. buat medi pedi miris,hate speech
NYALON LANCAR TAPI OPEN DONASI !!! EROR banget SIH INI OTAK  NYA\,hate speech
"Treatment bisa, buat anak sendiri patungan",hate speech
"aduh jujur aku ksihan sama anaknya nanti, masa iya demi anak harus minta donasi, tapi kalau untuk perawatan mama nya bisa pakai uang sendari pasti nanti sama anaknya perhitungan nih kasihan anaknya",hate speech
"Wkwk buat treatment ada duit, giliran anak hasil perbuatan sendiri malah minta donasi, lawak bocah ‚",hate speech
Lha ini bisa treatment… kok open donasi???,hate speech
Takutnya donasi nya tuk bayar utang atau tuk perawatan nya,hate speech
Donasinya buat perawatan beginikan kak maksudnya,hate speech
"Sayangnya palsu , mau lahiran aja nggak rela ngeluarin uang sendiri sampai harus open donasi",hate speech
Maaf saya tidak yakin anda ibu yang baik. Sorry for the ugly truth ya beb,hate speech
"Punya anak haram ( di luar nikah) ko bisa bangga dan gak malu ya, apa udah putus urat malu nya ? Heran saya sama manusia kek gini, dikira bukan aib apa gimana ? Sorry ya bukanya saya so suci atau gimana, saya juga masih sering ngelakuin hal hal yang berdosa, tapi saya gak pernah ngerasa bangga ngelakuin itu, yang ada saya nyesel saya malu sama tuhan saya, lah ini  dengan pededednya mengumbar umbar aibnya sendiri,, emang ya manusia kalau udah gapunya urat malu kek gini...",hate speech
Dari akhir tahun sampai sekarang gaada iktikad baiknya capek banget nagih2,hate speech
"Hamil nya settingan gg sih .. ko gg kelihatan besar perut nya .. walaupun pake baju besar"" kalau hamil pasti kelihatan",hate speech
"ya terserah lu si,mau hamil apa tidak, netizen cuma ilfil aja ama kelakuan lu yang hamil tanpa suami tapi bangga",hate speech
perawatan mewah tapi buat lahiran gak mampu,hate speech
Perawatan aja bisa. Mau ngelahirin minta donasi?,hate speech
perawatan elit‚ mau melahirkan minta donasi‚‚,hate speech
"emang dia Artis ya sejak kapan di angkat artis ??, bukannya dia tukang ngerendahin org ,, tukang pamer2 kesombongan gtu ??",hate speech
Ini ni GAYA ELIT.. LAHIRAN SULIT‚,hate speech
"settingan ni orang keknya, narik simpati netizen seolah2 dia paling tersakiti",hate speech
orang kaya kok ngerasa pahit..,hate speech
Ada ya yang bangga hamil diluar nikah terus di post mulu?,hate speech
Jadi kemarin pacaran cuma minta ngewe aja ce,hate speech
"baru kali ini Nemu orang hamil bentar2 dikontenin,. Kan gak ada bapaknya... Kenapa bangga banget ya... ",hate speech
"Astagfirullah… hamil diluar nikah di umbar2, malunya dimana yah? demi uang mempermalukan diri sendiri",hate speech
"Kenapa dia bangga sekali iya hamil tanpa suami , tidak punya keluarga ato gimana ni orang",hate speech
Katanya tobat ke jalan Tuhan tapi tetap aja hamil diluar nikahï¸ benar2 mempermainkan pertobatan,hate speech
Kasian banget hidup ini cewek.. abis buka aib mantan eh mau pamer pacar baru bunting eh di tinggalin..,hate speech
Mana nih fans2 bodoh yang hobi teriak password 'jangan menghakimi'?. Plus mengutuk orang yang bully junjungannya hobi zina,hate speech
Didunia ini emang gaada manusia yang sempurna tapi minimal punya rasa malu,hate speech
berzina saja bangga.. malu kita anak tuhan,hate speech
" hamil dan pamer kehamilan yang jelas2 gak TAU SIAPA BAPAKNYA , apa enggak kasian sama anaknya nanti , pasti di tnya BAPAKNYA mana ?",hate speech
gimana caranya biar pede aja hamil ga dikawin? kalau saya uda di kutuk kali wkwk,hate speech
Hamil sama siapa sih bapaknya gak ada,hate speech
Aib yang dbongkar sendiri kemarin belum saya kunyah... ada lagi aib baru... org ga malu ya kayak gni,hate speech
"Nikmati proses nya kak, seperti menikmati saat ngewe nya ‚",hate speech
"kemarin ke gereja sekarang sahur, agama aja ga jelas pantes hidupnya jg ga jelas",hate speech
"Hah… gak kuat bayar??? Beruang yang lo bangga2an kemana ‚‚‚ makanya gak usah terlalu lebay kalau ngomong, makan tuh honeymoon 1th  gubrak",hate speech
"Ah ternyata gaya2 mau beliin si Razman mobil, banyak utang di mana2.",hate speech
Jual ya jual aja.  Kagak usah caption jual mobil buat lahiran secar.  belum kejadian dah ngomong amburadul. Bikin konten bahasa kok horor mulu den.,hate speech
"udah honeymoon berbulan (gatau udah nikah apa belum) terus hamil, lah balik jakarta ngoceh lg gedein anak sendiri. Gajelas wkwk ",hate speech
Dulu mah malu banget ya kalau ketauan hamil diluar nikah sekarang mah kaya biasa aja di kalangan publik figur,hate speech
yang tengah cuman bisa pamer dan menghina org aja.,hate speech
Hamil kok beli pembalut.. di lempar2 pula. gak mendidik anjing,hate speech
Nikah belum tapi udah hamil. aNak haram gak tuh,hate speech
aib kok di umbar dengan bangga nya ,hate speech
"masih mending NM ya hamil tapi resmi walau akhirnya cerai jg ‚,,, denis lama2 lebay dan aneh caper nya",hate speech
"Postingin aja terus, paling 13 tahun lagi anakmu sedih liatin foto mamanya seperti gitu syukur2 kalau gk di bully karna malu sama kelakuan ibunya",hate speech
malu sendiri saya dah liat nya  gk di lihat penasaran,hate speech
malu banget hamil doang ditinggal kabur ‚‚‚ ,hate speech
wkwk kasian banget ambisi mau memiliki regi sampai koar koar bunting di sosmed.,hate speech
"rejeki seluruh jagat raya, karena rezeki bukan sj harta, tapi rezeki maksiat ",hate speech
Baru kali ini lihat cewek baju terbuka tapi gak ada seksi2 nya.. kasian‚,hate speech
"Kok badanya nggak sexy sama sekali,,, penuh lemak‚‚‚",hate speech
Balik jakarta bunting lo ‚,hate speech
Bodynya jelek kok pede ya,hate speech
Belum pernah lahiran tapi paha nya udah berantakan banget kayak strechmark,hate speech
Ga usah begitu kalau ga hobby work out badannya kendur semua,hate speech
Mbak tolong ya ditutup itu bagian bawah karna mataku jadi ternodai,hate speech
Pahanya kok begelombang,hate speech
persis kek orang gila pas dia lompat2‚,hate speech
"Heran, Cowonya bajunya itu mulu kaga ganti2",hate speech
Kok kayak emak anak 4 yak kayak emak saya anak 4 badannya bangetu,hate speech
" jangan pakek bikini dah soalnya body mu ambyar kunyur kunyur,, mending pakek bikini yang gak bikini2 banget gituu",hate speech
Zina maksiat dianggap hal biasa naudzubillah,hate speech
"Abis di lepeh di jilat lg jijik, laki gak punya harga diri.",hate speech
"sekarang modelan lu dah kaya baju kaga di strika, butek amat kusut‚‚",hate speech
Malas apalagi bos nya kaya lu gak jelas,hate speech
bunga bangkai atau prangkai,hate speech
"Ganti suami kak biar selesai masalah nya, soalnya berdasarkan podcast dr richard ladang masalah nya tuh suami",hate speech
Tombol cancel tasyi dr sosmed!,hate speech
"DARIPADA BAYAR PENGACARA, MENDING PERBAIKI MANAJEMEN FINANSIAL KANTOR DAN KARYAWAN AJA ",hate speech
 kalau denger syekh ma tasyi ngomong kayak dizholimin banget tapi gak sadar kalau ngomong jg nyelekit nyakitin hati orang ..syekh sadar syekh gak perlu ngomong keluarga gak ada yang bela bla bla segala macem nyinyir banget sih syekh mulutnya.. ,hate speech
Anjir ex karyawan ada bukti loh ga cuma omdo pers konferns nih kok dia pede banget padahal salah,hate speech
Sadar gak lo itu udah dzolim telat bayar gaji aja sdh dzolim ... merasa paling islam tapi kelakuan gak islami,hate speech
Setega itu sampai merusak barang pribadi karyawan,hate speech
CANCEL CULTURE AJA LAH capek banget dramanya ber part part,hate speech
"Udah plis jangan hujat tasyi, capek saya likenya ",hate speech
ngakunya ngerti agama tapi hobinya ria. wkwk,hate speech
Si paling terdzolimi wkwk,hate speech
Tas nya jual aja ga si kalau ga mampu  bayar kariawan tepat pada tanggal nya,hate speech
suami loh sudah menjerumuskan lo di fikiran dan hidup yang salah ya tasyi. heran deh,hate speech
"Makanya mbak kalau ada masalah diselesain dibelakang kamera aja, terus kalau ngomong jangan suka sombong masak ngak ada rumah 1M noh rumah saya orang kaya kampung harga rumah juga 2M itu Uda paling mewah menurut kita orang biasa",hate speech
Kerja syuting keluar negeri terus ga dikasih makan karena mahal itu gimana konsepnya,hate speech
Gaya selangit bayar karyawan sulit,hate speech
